hour_of_day,day_of_week,month,holiday,weekday,summertime,temp,dew,humidity,precip,snowdepth,windspeed,cloudcover,visibility,increase_stock,weather_index,hour_of_day_binary,visibility_binary
20,3,1,0,1,0,-0.7,-9.0,53.58,0.0,0.0,10.6,79.3,16.0,low_bike_demand,34.18,1,1
11,4,11,0,1,0,11.7,7.2,74.23,0.0,0.0,5.4,100.0,15.7,low_bike_demand,36.1675,1,1
18,2,7,0,1,1,32.2,22.1,55.42,0.0,0.0,15.6,85.6,16.0,high_bike_demand,49.72,1,1
3,5,2,0,0,0,-0.1,-9.4,49.58,0.0,0.0,33.9,25.4,16.0,low_bike_demand,35.23,0,1
11,5,2,0,0,0,1.7,-7.8,49.52,0.0,0.0,19.2,99.6,16.0,low_bike_demand,36.095,1,1
15,3,4,0,1,1,11.7,9.7,87.55,0.019,0.0,17.3,100.0,10.9,low_bike_demand,33.45775,1,1
16,4,8,0,1,1,32.4,23.2,58.3,0.0,0.0,10.3,88.9,15.8,high_bike_demand,49.324999999999996,1,1
17,0,5,0,1,1,25.7,9.3,35.57,0.0,0.0,7.0,24.4,16.0,high_bike_demand,49.8575,1,1
14,5,12,0,0,0,15.5,12.2,80.5,0.0,0.0,27.3,88.9,16.0,high_bike_demand,36.8,1,1
4,3,8,0,1,1,23.2,22.2,93.7,0.0,0.0,9.3,94.3,16.0,low_bike_demand,37.925,0,1
0,0,7,0,1,1,26.9,22.1,75.08,0.0,0.0,9.9,24.4,16.0,low_bike_demand,43.48,0,1
7,4,2,0,1,0,4.2,-6.6,45.11,0.0,0.0,22.5,82.9,16.0,low_bike_demand,38.1225,1,1
20,6,4,0,0,1,15.9,3.5,43.45,0.0,0.0,7.4,83.9,16.0,low_bike_demand,43.9875,1,1
1,6,6,0,0,1,24.8,20.6,77.28,0.0,0.0,17.8,79.3,16.0,low_bike_demand,42.029999999999994,0,1
12,3,5,0,1,1,19.9,14.4,70.65,0.0,0.0,9.5,100.0,16.0,low_bike_demand,40.9125,1,1
5,1,12,0,1,0,5.5,2.1,78.47,0.0,0.0,11.0,99.2,15.9,low_bike_demand,32.2825,0,1
16,1,8,0,1,1,32.2,23.7,60.65,0.0,0.0,17.7,79.3,16.0,low_bike_demand,48.8125,1,1
1,3,5,0,1,1,11.4,6.5,71.81,0.0,0.0,9.0,44.6,16.0,low_bike_demand,36.5225,0,1
13,2,6,0,1,1,24.9,5.7,28.98,0.0,0.0,22.0,26.4,16.0,low_bike_demand,50.404999999999994,1,1
21,0,3,0,1,0,9.8,-0.7,48.31,0.0,0.0,7.4,79.3,16.0,low_bike_demand,40.197500000000005,0,1
11,3,5,0,1,1,28.9,12.1,35.48,0.0,0.0,7.6,91.1,16.0,low_bike_demand,51.38,1,1
12,4,3,0,1,1,14.9,12.8,87.32,0.0,0.0,14.0,24.4,16.0,high_bike_demand,35.095000000000006,1,1
15,3,8,0,1,1,32.3,23.6,60.06,0.0,0.0,6.7,48.2,14.2,low_bike_demand,48.96,1,1
5,2,5,0,1,1,10.5,-3.8,36.23,0.0,0.0,11.3,99.6,16.0,low_bike_demand,42.6175,0,1
4,0,10,1,1,1,18.7,16.2,85.44,0.0,0.0,17.6,100.0,16.0,low_bike_demand,37.364999999999995,0,1
3,0,11,0,1,0,4.3,-6.2,46.59,0.0,0.0,27.2,27.3,16.0,low_bike_demand,37.8775,0,1
13,2,6,0,1,1,32.9,22.1,52.99,0.0,0.0,13.0,44.6,16.0,low_bike_demand,50.5025,1,1
5,4,3,0,1,1,9.2,7.8,91.28,0.0,0.0,8.9,90.1,7.2,low_bike_demand,31.43,0,0
7,6,4,0,0,1,17.7,15.1,84.41,0.0,0.0,28.1,100.0,16.0,low_bike_demand,37.097500000000004,1,1
14,5,10,0,0,1,25.0,16.6,59.8,0.0,0.0,21.8,81.3,16.0,high_bike_demand,45.449999999999996,1,1
11,6,8,0,0,1,29.2,22.8,68.43,0.0,0.0,21.9,79.3,16.0,high_bike_demand,45.8925,1,1
15,0,8,0,1,1,33.3,24.2,59.1,0.0,0.0,16.8,82.9,16.0,high_bike_demand,49.599999999999994,1,1
1,5,8,0,0,1,24.7,19.9,74.44,0.0,0.0,12.3,98.8,16.0,low_bike_demand,42.54,0,1
17,2,3,0,1,1,10.6,-12.2,18.87,0.0,0.0,34.8,0.0,16.0,high_bike_demand,44.8825,1,1
17,3,4,0,1,1,11.6,9.4,85.87,0.204,0.0,20.2,99.6,14.1,low_bike_demand,33.731500000000004,1,1
21,3,10,0,1,1,16.7,14.2,85.44,0.477,0.0,17.9,100.0,15.9,low_bike_demand,36.245749999999994,0,1
0,0,8,0,1,1,26.4,24.2,87.74,0.0,0.0,9.0,61.2,15.8,low_bike_demand,40.714999999999996,0,1
6,3,4,0,1,1,19.9,15.6,76.08,0.0,0.0,5.6,79.3,16.0,low_bike_demand,39.855,0,1
4,5,8,0,0,1,24.8,22.9,88.92,0.0,0.0,7.1,89.1,8.7,low_bike_demand,39.695,0,1
13,0,4,0,1,1,14.9,-0.8,34.22,0.0,0.0,19.8,46.6,16.0,low_bike_demand,44.97,1,1
23,0,11,0,1,0,10.6,6.5,75.47,0.0,0.0,4.8,0.0,16.0,low_bike_demand,35.4075,0,1
18,0,12,0,1,0,9.4,1.0,55.78,0.0,0.0,13.1,44.6,16.0,low_bike_demand,38.655,1,1
9,1,9,0,1,1,22.2,18.5,79.82,0.0,0.0,5.2,35.4,16.0,low_bike_demand,40.22,1,1
1,1,2,0,1,0,2.2,-2.8,69.61,0.0,0.0,11.8,24.4,16.0,low_bike_demand,32.4475,0,1
2,2,7,0,1,1,24.1,18.9,72.57,0.0,0.0,11.6,68.0,16.0,low_bike_demand,42.6075,0,1
18,6,4,0,0,1,12.8,-5.0,28.68,0.0,0.0,11.8,45.4,16.0,high_bike_demand,44.78,1,1
7,3,12,0,1,0,0.1,-5.8,64.4,0.0,0.0,4.8,44.6,16.0,low_bike_demand,32.474999999999994,1,1
8,4,4,0,1,1,13.2,-0.7,38.29,0.0,0.0,18.4,99.8,16.0,high_bike_demand,43.5525,1,1
11,6,12,0,0,0,4.3,1.1,79.62,0.0,0.0,22.0,91.1,16.0,low_bike_demand,31.444999999999997,1,1
17,3,2,0,1,0,-0.1,-2.9,81.65,0.0,0.37,17.9,100.0,16.0,low_bike_demand,28.8375,1,1
11,0,3,0,1,1,9.3,-3.4,40.59,0.0,0.0,24.9,24.4,16.0,low_bike_demand,41.32749999999999,1,1
7,5,10,0,0,1,7.5,5.9,89.56,0.0,0.0,0.0,46.2,16.0,low_bike_demand,30.96,1,1
20,6,4,0,0,1,16.1,12.8,80.73,0.0,0.0,27.7,100.0,16.0,low_bike_demand,37.042500000000004,1,1
22,6,8,0,0,1,28.4,22.8,71.41,0.0,0.0,15.9,44.6,16.0,low_bike_demand,44.947500000000005,0,1
16,0,5,0,1,1,14.4,0.0,37.21,0.0,0.0,29.8,86.1,16.0,low_bike_demand,44.2975,1,1
5,2,10,0,1,1,16.6,15.6,93.95,0.0,0.0,20.1,100.0,9.9,low_bike_demand,34.5625,0,1
20,3,3,0,1,1,11.0,9.4,89.58,0.0,0.0,12.6,100.0,4.7,low_bike_demand,32.705,1,0
4,3,2,0,1,0,3.8,-4.4,55.22,0.0,0.0,19.8,94.5,16.0,low_bike_demand,36.044999999999995,0,1
16,3,12,0,1,0,6.1,-6.1,41.3,0.0,0.0,9.3,97.4,16.0,low_bike_demand,39.675000000000004,1,1
8,0,6,1,1,1,17.8,5.2,43.36,0.0,0.0,0.4,83.9,16.0,low_bike_demand,44.91,1,1
22,3,4,0,1,1,14.8,8.3,64.67,0.0,0.0,17.7,89.1,16.0,low_bike_demand,39.6075,0,1
10,5,11,0,0,0,11.9,10.3,89.65,0.0,0.0,9.9,24.4,13.3,low_bike_demand,33.1375,1,1
12,0,6,1,1,1,26.0,4.3,24.84,0.0,0.0,18.3,50.0,16.0,high_bike_demand,51.365,1,1
22,3,9,0,1,1,21.0,19.3,90.41,1.3430000000000002,0.0,0.5,99.2,13.3,low_bike_demand,37.136750000000006,0,1
3,0,5,0,1,1,21.1,10.6,51.02,0.0,0.0,31.4,99.2,16.0,low_bike_demand,45.169999999999995,0,1
8,5,4,0,0,1,9.2,2.9,64.76,0.0,0.0,7.4,24.4,16.0,low_bike_demand,36.835,1,1
13,6,2,0,0,0,2.2,-13.9,29.4,0.0,0.0,15.9,24.4,16.0,low_bike_demand,39.725,1,1
4,3,8,0,1,1,23.6,20.0,80.06,0.0,0.0,12.4,79.3,16.0,low_bike_demand,40.885,0,1
21,6,6,0,0,1,24.2,18.8,71.86,0.0,0.0,17.9,79.3,16.0,low_bike_demand,42.785000000000004,0,1
6,0,6,0,1,1,24.3,18.8,71.29,0.0,0.0,21.4,33.7,16.0,low_bike_demand,42.9525,0,1
14,4,1,0,1,0,-3.4,-14.4,42.4,0.0,0.3,17.7,79.3,16.0,low_bike_demand,34.949999999999996,1,1
8,6,7,0,0,1,27.1,23.9,82.45,0.0,0.0,5.6,24.4,16.0,low_bike_demand,42.1375,1,1
1,5,3,0,0,0,2.8,-10.8,36.22,0.0,0.0,24.1,0.0,16.0,low_bike_demand,38.94499999999999,0,1
9,1,5,0,1,1,22.8,18.3,75.4,0.0,0.0,11.4,44.6,16.0,low_bike_demand,41.425,1,1
12,6,6,0,0,1,28.9,19.8,57.83,0.0,0.0,21.9,46.6,16.0,high_bike_demand,47.7175,1,1
17,5,8,0,0,1,27.8,21.7,69.66,0.0,0.0,15.8,61.2,16.0,high_bike_demand,44.959999999999994,1,1
18,2,5,0,1,1,21.5,9.4,45.84,0.0,0.0,20.2,84.7,16.0,high_bike_demand,46.265,1,1
6,4,8,0,1,1,21.3,18.7,85.31,0.0,0.0,5.2,0.0,16.0,low_bike_demand,38.6725,0,1
22,6,11,0,0,0,13.3,9.4,77.26,0.0,0.0,0.7,98.8,16.0,low_bike_demand,36.36,0,1
2,3,5,0,1,1,15.4,11.7,78.69,0.0,0.0,6.7,44.6,16.0,low_bike_demand,37.1025,0,1
16,2,3,0,1,0,15.5,-7.2,20.28,0.0,0.0,11.3,0.0,16.0,low_bike_demand,47.005,1,1
16,5,5,0,0,1,33.2,18.8,42.58,0.0,0.0,16.4,44.6,16.0,high_bike_demand,52.355000000000004,1,1
19,5,7,0,0,1,30.4,20.2,54.43,0.0,0.0,8.7,49.3,16.0,high_bike_demand,49.0425,1,1
16,4,11,0,1,0,16.1,8.3,59.83,0.0,0.0,6.9,99.2,16.0,high_bike_demand,41.142500000000005,1,1
7,3,10,0,1,1,18.7,15.8,83.2,0.0,0.0,8.9,100.0,16.0,low_bike_demand,37.825,1,1
2,2,11,0,1,0,7.7,4.3,78.99,0.0,0.0,12.8,97.3,16.0,low_bike_demand,33.252500000000005,0,1
14,1,12,0,1,0,5.5,-11.7,27.66,0.0,0.0,27.1,24.4,16.0,low_bike_demand,41.535000000000004,1,1
18,1,8,0,1,1,28.0,18.5,56.25,0.0,0.0,37.4,98.2,16.0,low_bike_demand,47.5625,1,1
21,6,3,0,0,1,15.2,1.6,39.78,0.0,0.0,5.4,24.4,16.0,low_bike_demand,44.255,0,1
8,3,9,0,1,1,24.3,23.3,94.58,0.058,0.0,13.7,100.0,6.2,low_bike_demand,38.240500000000004,1,0
1,3,11,1,1,0,3.0,-4.0,60.18,0.0,0.0,7.4,79.3,16.0,low_bike_demand,34.705,0,1
20,1,11,0,1,0,6.6,-5.1,43.23,0.0,0.0,31.6,45.4,16.0,low_bike_demand,39.5675,1,1
22,0,1,0,1,0,3.1,-1.2,73.76,0.0,0.0,0.4,79.3,16.0,low_bike_demand,32.035000000000004,0,1
2,1,6,0,1,1,23.1,21.1,88.4,0.0,0.0,7.1,80.3,16.0,low_bike_demand,38.949999999999996,0,1
17,4,3,0,1,1,9.3,7.2,86.96,0.481,0.0,7.5,100.0,15.8,low_bike_demand,32.26475,1,1
8,0,1,0,1,0,-0.1,-9.5,49.15,0.138,0.26,13.3,79.3,16.0,low_bike_demand,35.278,1,1
19,2,10,0,1,1,20.9,17.8,82.56,0.0,0.0,7.3,81.3,16.0,high_bike_demand,39.035000000000004,1,1
5,5,4,0,0,1,12.5,7.6,72.07,0.0,0.0,4.9,45.4,16.0,low_bike_demand,37.0075,0,1
4,5,11,0,0,0,9.1,7.7,91.08,0.0,0.0,0.4,0.0,12.9,low_bike_demand,31.430000000000003,0,1
3,1,1,0,1,0,4.9,2.1,82.59,0.0,0.0,6.7,98.8,16.0,low_bike_demand,31.1025,0,1
20,6,5,0,0,1,16.1,2.6,40.38,0.0,0.0,15.7,24.4,16.0,low_bike_demand,44.58,1,1
4,3,12,0,1,0,2.7,-2.1,70.55,0.3,0.3,10.7,100.0,16.0,low_bike_demand,32.43750000000001,0,1
3,4,4,0,1,1,13.2,8.9,75.33,0.19,0.0,11.9,96.4,16.0,low_bike_demand,36.645,0,1
2,6,4,0,0,1,7.4,-0.1,59.05,0.0,0.0,0.0,89.1,16.0,low_bike_demand,37.0625,0,1
0,6,4,0,0,1,18.6,16.7,88.58,0.0,0.0,5.5,92.9,15.9,low_bike_demand,36.68,0,1
9,5,3,0,0,0,3.8,-3.9,57.3,0.0,0.0,38.2,100.0,16.0,low_bike_demand,35.65,1,1
14,1,11,0,1,0,9.9,2.8,60.93,0.0,0.0,11.1,98.1,16.0,low_bike_demand,37.9425,1,1
13,4,3,0,1,0,18.4,11.5,64.31,0.0,0.0,20.6,93.8,16.0,low_bike_demand,41.3975,1,1
11,6,3,0,0,1,13.8,0.7,40.76,0.0,0.0,27.0,87.5,16.0,high_bike_demand,43.435,1,1
7,4,8,0,1,1,21.4,19.2,87.53,0.0,0.0,8.7,24.4,16.0,low_bike_demand,38.2675,1,1
17,4,7,0,1,1,23.9,21.8,88.54,0.008,0.0,26.7,96.1,4.0,low_bike_demand,39.288000000000004,1,0
7,5,5,0,0,1,20.5,17.1,80.88,0.0,0.0,10.5,62.2,16.0,low_bike_demand,39.18,1,1
7,6,10,0,0,1,18.7,17.2,90.89,0.0,0.0,6.7,89.3,16.0,low_bike_demand,36.2525,1,1
16,2,1,1,1,0,6.6,-7.9,34.79,0.0,0.0,31.7,85.8,16.0,low_bike_demand,40.9775,1,1
4,6,1,0,0,0,2.8,-5.0,56.41,0.0,0.0,18.2,24.4,16.0,low_bike_demand,35.3475,0,1
11,5,4,0,0,1,14.2,12.3,87.86,0.0,0.0,5.5,100.0,16.0,high_bike_demand,34.660000000000004,1,1
13,1,9,0,1,1,24.9,21.1,79.81,0.0,0.0,9.2,59.8,16.0,low_bike_demand,41.5475,1,1
6,0,4,1,1,1,14.3,8.3,67.17,0.0,0.0,13.9,89.3,16.0,low_bike_demand,38.8575,0,1
17,5,12,0,0,0,7.8,-3.9,43.55,0.0,0.0,33.0,89.7,16.0,low_bike_demand,40.0875,1,1
21,2,9,0,1,1,20.8,11.3,54.42,0.0,0.0,12.2,79.3,16.0,low_bike_demand,44.42,0,1
19,3,5,0,1,1,28.7,10.2,31.61,0.0,0.0,14.3,44.6,16.0,high_bike_demand,51.8225,1,1
9,4,10,0,1,1,9.1,6.5,83.64,0.0,0.0,0.1,25.3,16.0,low_bike_demand,32.99,1,1
17,3,12,0,1,0,8.4,2.6,67.02,0.0,0.0,17.0,99.2,16.0,low_bike_demand,35.995,1,1
3,3,1,0,1,0,3.8,-3.3,59.9,0.0,0.0,31.1,86.5,16.0,low_bike_demand,35.15,0,1
14,2,4,0,1,1,27.3,14.3,44.96,0.0,0.0,15.1,82.9,16.0,high_bike_demand,49.160000000000004,1,1
0,0,11,0,1,0,11.6,10.6,93.61,0.0,0.0,0.4,49.5,15.6,low_bike_demand,32.1475,0,1
1,4,11,0,1,0,10.5,5.8,72.4,0.0,0.0,10.7,100.0,16.0,low_bike_demand,35.975,0,1
10,5,6,0,0,1,26.0,20.0,69.83,0.0,0.0,5.2,86.8,16.0,low_bike_demand,44.042500000000004,1,1
13,5,9,0,0,1,22.2,16.2,68.73,0.0,0.0,16.2,63.5,16.0,high_bike_demand,42.4175,1,1
21,0,4,0,1,1,12.0,-2.1,37.4,0.0,0.0,25.9,46.4,16.0,low_bike_demand,43.125,0,1
13,6,11,0,0,0,11.9,0.0,43.97,0.0,0.0,11.2,24.4,16.0,high_bike_demand,41.9825,1,1
7,3,9,0,1,1,24.3,23.3,94.6,0.036,0.0,12.4,76.2,11.0,low_bike_demand,38.24100000000001,1,1
23,0,3,0,1,1,-1.3,-15.0,34.44,0.0,0.0,25.2,24.4,16.0,low_bike_demand,37.315,0,1
0,2,1,0,1,0,4.3,1.0,79.37,0.0,0.0,18.4,100.0,16.0,low_bike_demand,31.482499999999998,0,1
1,2,12,0,1,0,10.6,-0.5,46.32,0.0,0.0,7.8,100.0,16.0,low_bike_demand,40.945,0,1
13,4,12,0,1,0,11.9,2.9,53.9,0.0,0.0,13.0,25.3,16.0,low_bike_demand,40.225,1,1
17,5,4,0,0,1,16.2,4.7,46.55,0.0,0.0,14.4,99.3,16.0,low_bike_demand,43.5875,1,1
9,0,5,1,1,1,23.0,17.9,72.93,0.0,0.0,12.5,44.6,16.0,low_bike_demand,41.9925,1,1
10,4,11,0,1,0,11.5,7.8,77.95,0.0,0.0,5.0,89.9,16.0,low_bike_demand,35.337500000000006,1,1
2,2,4,0,1,1,16.1,7.1,55.2,0.0,0.0,23.7,24.4,16.0,low_bike_demand,42.0,0,1
12,0,5,1,1,1,28.4,19.2,57.45,0.0,0.0,16.7,44.6,16.0,high_bike_demand,47.537499999999994,1,1
10,5,8,0,0,1,27.1,21.2,70.04,0.0,0.0,11.3,79.3,16.0,high_bike_demand,44.565,1,1
23,6,5,0,0,1,13.0,4.2,55.23,0.0,0.0,14.0,24.4,16.0,low_bike_demand,40.4925,0,1
6,2,10,0,1,1,19.9,18.4,91.07,0.278,0.0,12.4,100.0,8.1,low_bike_demand,36.738,0,1
16,5,8,0,0,1,26.0,19.4,67.11,0.0,0.0,19.1,91.1,16.0,high_bike_demand,44.5725,1,1
22,1,4,0,1,1,17.9,3.4,38.26,0.0,0.0,9.0,24.4,16.0,low_bike_demand,45.76,0,1
19,3,11,1,1,0,11.5,-0.1,44.99,0.0,0.0,7.4,0.0,16.0,low_bike_demand,41.6025,1,1
18,0,8,0,1,1,27.7,12.8,39.87,0.0,0.0,17.6,51.0,16.0,high_bike_demand,50.1575,1,1
15,4,12,1,1,0,14.4,10.6,77.98,0.0,0.0,14.4,86.1,16.0,high_bike_demand,36.754999999999995,1,1
4,2,2,0,1,0,-0.4,-5.8,66.77,0.0,0.0,4.8,24.4,16.0,low_bike_demand,31.757500000000004,0,1
8,0,2,1,1,0,9.2,6.1,80.93,0.0,0.0,12.6,89.1,16.0,low_bike_demand,33.592499999999994,1,1
0,6,10,0,0,1,19.8,15.6,76.74,0.0,0.0,17.4,98.8,16.0,low_bike_demand,39.665,0,1
22,2,11,1,1,0,20.7,20.7,99.89,0.069,0.0,0.8,99.8,10.7,low_bike_demand,35.36025,0,1
14,2,10,0,1,1,21.0,10.0,49.32,0.0,0.0,32.3,24.4,16.0,low_bike_demand,45.42,1,1
18,5,4,0,0,1,24.3,10.8,42.65,0.0,0.0,20.9,44.6,16.0,high_bike_demand,48.112500000000004,1,1
17,3,12,0,1,0,4.9,-7.9,39.1,0.731,0.0,5.2,0.0,16.0,low_bike_demand,39.29225,1,1
4,6,8,0,0,1,23.7,20.7,83.66,0.0,0.0,17.3,100.0,16.0,low_bike_demand,40.185,0,1
8,6,4,0,0,1,6.6,-1.1,57.71,0.0,0.0,16.8,88.9,16.0,low_bike_demand,36.9475,1,1
0,1,2,0,1,0,-0.8,-6.2,66.89,0.0,0.03,9.0,79.3,16.0,low_bike_demand,31.5275,0,1
13,0,10,0,1,1,19.9,8.7,48.49,0.0,0.0,21.8,45.6,16.0,low_bike_demand,45.027499999999996,1,1
19,6,1,0,0,0,8.3,5.7,83.65,0.0,0.0,14.3,100.0,16.0,low_bike_demand,32.5875,1,1
0,5,12,0,0,0,9.8,6.3,78.54,0.0,0.0,0.0,100.0,16.0,low_bike_demand,34.39,0,1
17,5,11,0,0,0,7.1,-7.2,35.55,0.0,0.0,17.6,81.1,16.0,low_bike_demand,41.087500000000006,1,1
0,1,9,0,1,1,25.5,21.1,76.8,0.066,0.0,16.3,98.6,16.0,low_bike_demand,42.4335,0,1
18,2,11,0,1,0,8.3,-1.7,49.58,0.0,0.0,21.9,30.5,16.0,high_bike_demand,39.255,1,1
22,0,4,0,1,1,13.9,4.9,54.71,0.0,0.0,8.7,44.6,16.0,low_bike_demand,41.0225,0,1
17,3,6,0,1,1,23.4,20.7,84.8,4.551,0.0,13.0,100.0,3.2,low_bike_demand,38.68725,1,0
21,2,12,0,1,0,9.7,6.1,78.31,0.0,0.0,6.7,80.3,16.0,low_bike_demand,34.372499999999995,0,1
17,4,12,1,1,0,12.2,-1.0,39.99,0.0,0.0,0.5,90.9,16.0,low_bike_demand,42.802499999999995,1,1
8,5,9,0,0,1,22.7,19.3,81.48,0.0,0.0,7.1,86.1,16.0,low_bike_demand,40.13,1,1
16,5,2,0,0,0,10.0,-6.1,31.54,0.0,0.0,5.4,88.9,16.0,high_bike_demand,43.09,1,1
20,5,7,0,0,1,25.7,19.9,70.37,0.238,0.0,18.2,87.5,11.5,low_bike_demand,43.748,1,1
19,3,7,0,1,1,28.1,21.8,68.68,0.0,0.0,14.1,84.4,16.0,high_bike_demand,45.305,1,1
5,6,6,0,0,1,21.5,20.0,90.93,0.0,0.0,8.3,100.0,14.8,low_bike_demand,37.6425,0,1
2,0,2,0,1,0,4.2,1.1,80.17,0.0,0.0,25.4,99.8,16.0,low_bike_demand,31.2825,0,1
6,2,10,0,1,1,17.1,16.6,97.1,0.267,0.0,6.7,100.0,0.1,low_bike_demand,34.08325,0,0
7,3,10,0,1,1,17.8,15.7,87.24,0.5379999999999999,0.0,14.7,100.0,15.9,low_bike_demand,36.4305,1,1
